Number,Company,Symbol,YTD Return
git status,"Robinhood Markets, Inc.",HOOD,250.81
2,Western Digital,WDC,168.67
3,Seagate Technology,STX,147.48
4,Micron Technology,MU,140.86
5,Palantir Technologies,PLTR,139.31
6,Newmont,NEM,131.90
7,Lam Research,LRCX,100.27
8,Advanced Micro Devices,AMD,96.66
9,Warner Bros. Discovery,WBD,96.50
10,Intel,INTC,89.05
11,CVS Health,CVS,85.36
12,GE Aerospace,GE,83.21
13,KLA Corporation,KLAC,82.54
14,Howmet Aerospace,HWM,81.53
15,Corning Inc.,GLW,81.16
16,NRG Energy,NRG,81.06
17,Amphenol,APH,79.71
18,GE Vernova,GEV,79.22
19,Supermicro,SMCI,79.18
20,"Tapestry, Inc.",TPR,77.18
21,Monolithic Power Systems,MPWR,72.41
22,AppLovin Corporation,APP,70.00
23,Oracle Corporation,ORCL,64.36
24,Constellation Energy,CEG,60.92
25,TE Connectivity,TEL,59.47
26,Paramount Skydance Corp,PSKY,59.13
27,DoorDash,DASH,55.82
28,Uber,UBER,54.57
29,Idexx Laboratories,IDXX,54.03
30,eBay,EBAY,53.96
31,Huntington Ingalls Industries,HII,53.31
32,"EMCOR Group, Inc.",EME,51.93
33,Interactive Brokers Group,IBKR,49.74
34,RTX Corporation,RTX,49.55
35,Broadcom,AVGO,48.74
36,Cencora,COR,48.49
37,CrowdStrike,CRWD,47.29
38,Ralph Lauren Corporation,RL,46.33
39,Caterpillar Inc.,CAT,44.74
40,HCA Healthcare,HCA,43.91
41,United Rentals,URI,43.02
42,Aptiv,APTV,42.10
43,Take-Two Interactive,TTWO,41.31
44,Johnson Controls,JCI,40.87
45,Jabil,JBL,40.26
46,Dollar General,DG,40.07
47,Wynn Resorts,WYNN,39.87
48,Citigroup,C,39.74
49,L3Harris,LHX,39.43
50,Welltower,WELL,38.97
51,Applied Materials,AMAT,38.80
52,BNY Mellon,BK,38.76
53,Quanta Services,PWR,37.55
54,Royal Caribbean Group,RCL,37.54
55,Allegion,ALLE,37.32
56,Electronic Arts,EA,37.00
57,McKesson Corporation,MCK,36.74
58,Alphabet Inc. (Class A),GOOGL,35.85
59,Coinbase Global,COIN,35.70
60,Leidos,LDOS,35.55
61,Vistra Corp.,VST,35.51
62,Alphabet Inc. (Class C),GOOG,35.41
63,Nvidia,NVDA,34.81
64,Cardinal Health,CAH,34.72
65,Gilead Sciences,GILD,34.28
66,Steel Dynamics,STLD,34.13
67,Johnson & Johnson,JNJ,33.34
68,Hasbro,HAS,32.93
69,Marathon Petroleum,MPC,32.80
70,Goldman Sachs,GS,32.50
71,Estée Lauder Companies (The),EL,32.16
72,Arista Networks,ANET,31.95
73,Monster Beverage,MNST,31.51
74,TKO Group Holdings,TKO,31.39
75,Invesco,IVZ,31.24
76,Netflix,NFLX,30.43
77,Dell Technologies,DELL,30.23
78,Dollar Tree,DLTR,30.07
79,AbbVie,ABBV,30.03
80,3M,MMM,29.37
81,General Dynamics,GD,29.09
82,First Solar,FSLR,28.93
83,W. R. Berkley Corporation,WRB,28.75
84,IBM,IBM,28.55
85,Valero Energy,VLO,28.54
86,Charles Schwab Corporation,SCHW,28.52
87,Verisign,VRSN,28.04
88,Exelon,EXC,27.91
